Commit_Hash,Date_Time,Author,Change_Description,Files_Modified
80f2908,2026-08-20 15:21:21,Dilip,fix: resolve repeated source references footer in job description by using regex stripping and clean database,"backend/app/main.py, backend/app/services/job_naming.py, backend/scripts/clean_repeated_descriptions.py"
45bf253,2026-08-20 15:10:44,Dilip,feat: enable automatic startup restore of original job titles,backend/app/main.py
00ee7b6,2026-08-20 15:04:25,Dilip,feat: restore original job titles and disable automatic startup backfill migration,"backend/app/main.py, backend/scripts/restore_job_names.py"
58ef27f,2026-08-19 20:29:26,Dilip,feat: enforce Component - Action naming format for all jobs and bypass Rule 4 empty result return,backend/app/services/job_naming.py
ef20891,2026-08-19 20:21:36,Dilip,feat: run startup job name backfill on all jobs regardless of is_deleted status,backend/app/main.py
c9d6d38,2026-08-19 20:07:42,Dilip,feat: enhance startup job name backfill to resolve components by scanning library keyword list,backend/app/main.py
6371ebf,2026-08-19 19:58:23,Dilip,feat: add component name hyphen parsing fallback to startup job name backfill,backend/app/main.py
9379f4b,2026-08-19 19:52:56,Dilip,fix: resolve component name from components table in startup backfill instead of attribute lookup,backend/app/main.py
84b2be8,2026-08-19 19:44:40,Dilip,fix: prevent NotNullViolationError in jobs table by keeping original job name if resolver returns None,"backend/app/api/v1/jobs.py, backend/app/services/extractor.py"
2926f87,2026-08-19 19:31:19,Dilip,feat: add automatic database job name backup and backfill runner on startup,backend/app/main.py
2932277,2026-08-19 19:18:13,Dilip,fix: prevent global library backfill from soft-deleting standard seeded records and restore previously deleted records,"backend/app/api/v1/library.py, backend/app/services/review_workflow.py"
b86b775,2026-08-19 19:10:33,Dilip,fix: move ensure_tenant_library_seeded helper above decorator and enable on-demand seeding,backend/app/api/v1/library.py
ccea5dc,2026-08-19 19:06:12,Dilip,debug: add global library tenant_id diagnostic logging,backend/app/api/v1/library.py
b01fd92,2026-08-19 19:02:04,Dilip,feat: make startup seeder tenant-aware to seed 16940 records for all database tenants,backend/app/main.py
9deced9,2026-08-19 18:53:16,Dilip,feat: refine job title library startup seeder to populate if count is below 15000,backend/app/main.py
77a1c89,2026-08-19 18:36:57,Dilip,feat: add automatic backup and backfill migration runner on backend startup,backend/app/main.py
a125db5,2026-08-19 18:32:54,Dilip,"feat: add backup, backfill, and restore fallback scripts for job description formatting","backend/scripts/backfill_job_descriptions.py, backend/scripts/backup_descriptions.py, backend/scripts/restore_descriptions.py, backend/scripts/run_production_backfill.py"
8a72a8f,2026-08-19 18:29:32,Dilip,feat: format even source references in job descriptions with /*-,backend/app/models/job.py
1b090c0,2026-08-19 18:24:23,Dilip,feat: instruct LLM extraction prompt to format job description with /*- and split lists,backend/app/services/extractor.py
9d19a48,2026-08-19 18:17:29,Dilip,feat: format job description to split list items onto new lines and prefix with /*-,backend/app/models/job.py
29398c2,2026-08-19 18:11:28,Dilip,fix: export complete un-truncated job description in QC and standard job exports,backend/app/api/v1/jobs.py
edeef9c,2026-08-19 15:17:09,Dilip,feat: migrate job title library to existing global_job_library table under F-04 Global Libraries,"backend/alembic/versions/2c31f19ace76_drop_job_title_library_table.py, backend/app/api/v1/jobs.py, backend/app/main.py, backend/app/models/__init__.py, backend/app/models/job_title_library.py, backend/app/services/extractor.py, backend/app/services/job_naming.py"
fc99214,2026-08-18 10:50:47,Dilip,feat: completely bypass request size limit middleware to accept any file size uploads,backend/app/main.py
255a42e,2026-08-18 10:11:54,Dilip,feat: increase max request size limit to 1000 MB to support 500 MB manual uploads,backend/app/core/config.py
6eea118,2026-08-18 05:37:57,Dilip,feat: add automatic startup seeding from complete 16940-record CSV job title library,"backend/app/assets/asm_jobs.csv, backend/app/main.py"
829efd5,2026-08-18 05:02:54,Dilip,feat: implement job title library database matching and action-based naming rules,"backend/alembic/versions/e41039a804fc_create_job_title_library_table.py, backend/app/api/v1/jobs.py, backend/app/models/__init__.py, backend/app/models/job_title_library.py, backend/app/services/extractor.py, backend/app/services/job_naming.py"
ed24c18,2026-08-18 04:28:23,Dilip,fix: move StreamingResponse import to module level in jobs.py and spares.py to prevent Pydantic NameError on startup,"backend/app/api/v1/jobs.py, backend/app/api/v1/spares.py"
51eba16,2026-08-18 04:16:32,Dilip,"feat: implement individual baseline import and template downloads for components, jobs, and spares","backend/app/api/v1/jobs.py, backend/app/api/v1/spares.py, frontend/src/pages/ComponentReview.tsx, frontend/src/pages/JobsReview.tsx, frontend/src/pages/ManualReview.tsx, frontend/src/pages/SparesReview.tsx"
400e4f1,2026-08-18 04:06:21,Dilip,fix: set default QC review status of imported standard library components to pending,backend/app/services/vessel_library.py
527ef45,2026-08-14 06:20:37,Dilip,fix: resolve local select variable shadowing causing UnboundLocalError in statistics API,backend/app/api/v1/ingestion.py
8253240,2026-08-14 06:15:09,Dilip,fix: resolve 500 internal server error in statistics endpoint by wrapping sync in try-except and using db.flush(),backend/app/services/anthropic_admin.py
d794a0e,2026-08-14 05:43:14,Dilip,feat: persist daily claude API costs locally in database and backfill historical data automatically,"backend/alembic/versions/435a99988f2b_create_claude_daily_costs_table.py, backend/app/api/v1/ingestion.py, backend/app/models/__init__.py, backend/app/models/claude_cost.py, backend/app/services/anthropic_admin.py"
bfa1ab2,2026-08-14 05:30:46,Dilip,feat: show console billed cost prominently on overview tab metrics grid,frontend/src/components/manuals/ManualsStatsModal.tsx
8962ea7,2026-08-14 02:31:14,Dilip,feat: bind console day costs to price calibrator date selector to auto-fill actual values,frontend/src/components/manuals/ManualsStatsModal.tsx
0913aae,2026-08-14 02:26:22,Dilip,feat: query real Anthropic Console usage/cost endpoints using Admin API Key and add dynamic console logs tab in statistics modal,"backend/app/api/v1/ingestion.py, backend/app/core/config.py, backend/app/services/anthropic_admin.py, frontend/src/components/manuals/ManualsStatsModal.tsx"
47151e9,2026-08-14 02:21:05,Dilip,"feat: add Claude AI & APIs statistics tab detailing keys status, active models, endpoints, and token counts","backend/app/api/v1/ingestion.py, frontend/src/components/manuals/ManualsStatsModal.tsx"
72eec89,2026-08-14 02:12:17,Dilip,feat: set manual upload limit to unlimited by skipping size validation when max_size_bytes is 0 or None,"backend/app/api/v1/ingestion.py, backend/app/services/upload_security.py, frontend/src/pages/Ingestion.tsx"
3b0755e,2026-08-13 01:11:36,Dilip,fix: filter statistics manuals query to only include files with valid blob storage key,backend/app/api/v1/ingestion.py
cbad376,2026-08-13 01:04:10,Dilip,feat: add deleted manual filters and map all manual statistics dynamically in frontend,"backend/app/api/v1/ingestion.py, frontend/src/components/manuals/ManualsStatsModal.tsx"
ac6e7a4,2026-08-13 00:55:23,Dilip,feat: add vessel project filter selector to manuals statistics modal,frontend/src/components/manuals/ManualsStatsModal.tsx
a98b0a9,2026-08-13 00:50:12,Dilip,fix: restructure review page toolbar layout and add date filters to statistics modal,"frontend/src/components/manuals/ManualsStatsModal.tsx, frontend/src/pages/ManualReview.tsx"
9916be6,2026-08-13 00:42:07,Dilip,feat: add date-wise activity analytics and calibrated LLM cost calculator tabs to stats modal,"backend/app/api/v1/ingestion.py, frontend/src/components/manuals/ManualsStatsModal.tsx"
b15d85c,2026-08-13 00:34:27,Dilip,feat: add multi-tabbed manual extraction statistics modal and fix status modal alignments,"backend/app/api/v1/ingestion.py, frontend/src/components/manuals/ManualPageStatusModal.tsx, frontend/src/components/manuals/ManualsStatsModal.tsx, frontend/src/pages/ManualReview.tsx"
53fb7db,2026-08-13 00:19:33,Dilip,fix: omit empty non-targeted pages from extraction status modal,"backend/app/api/v1/ingestion.py, frontend/src/components/manuals/ManualPageStatusModal.tsx"
8947833,2026-08-13 00:09:50,Dilip,feat: add page-by-page PDF extraction status modal with page-specific retry,"backend/app/api/v1/ingestion.py, backend/app/services/extractor.py, frontend/src/components/manuals/ManualPageStatusModal.tsx, frontend/src/pages/ManualReview.tsx"
c269db5,2026-08-12 11:44:01,Dilip,Fix backend job list and export endpoints to filter by both frequency and frequency_type,backend/app/api/v1/jobs.py
0490597,2026-08-11 23:52:19,Dilip,UI update: keep only physical page reference input and label it as page number only,frontend/src/pages/ManualReview.tsx
0719295,2026-08-11 23:45:04,Dilip,Separate pdfplumber and pytesseract imports in _enrich_pdf_text_for_selected_pages to prevent pytesseract failure from blocking text extraction,backend/app/services/extractor.py
1df912a,2026-08-11 20:14:04,Dilip,Enable Extract Jobs Only and Extract Spares Only buttons on Manual Classification page,frontend/src/pages/ManualReview.tsx
012f4bd,2026-08-11 19:58:53,Dilip,Eagerly load extracted_text with undefer and normalize CRLF line endings in auto_extract_from_manual,backend/app/services/extractor.py
7b238cf,2026-08-07 21:02:22,Dilip,Fix manual page loading API route path in SnipExtractJobsModal,frontend/src/components/jobs/SnipExtractJobsModal.tsx
7f3a91b,2026-08-07 20:54:21,Dilip,Fix manuals query list pagination data layout and add open in new tab manual action,"frontend/src/components/jobs/SnipExtractJobsModal.tsx, frontend/src/components/spares/SnipExtractModal.tsx"
2161b13,2026-08-07 20:47:11,Dilip,Fix Form NameError by importing Form at the top level of jobs.py,backend/app/api/v1/jobs.py
897928e,2026-08-07 20:37:14,Dilip,Implement Snip & Extract for Jobs page and wire Spares Snip & Extract button click,"backend/app/api/v1/jobs.py, frontend/src/components/jobs/SnipExtractJobsModal.tsx, frontend/src/pages/JobsReview.tsx"
eaa8b1d,2026-08-07 18:37:43,Dilip,Enable instant UI path updating in component name datalist autocomplete selection,"backend/app/schemas/component.py, frontend/src/pages/ComponentReview.tsx"
53f06ba,2026-08-07 18:22:32,Dilip,Remap unmapped component itself to matched tree path and set is_unmapped to false directly instead of soft-deleting,backend/app/api/v1/components.py
b590ee7,2026-08-07 18:18:04,Dilip,Sync component classification path to match vessel tree path upon component renaming,"backend/app/api/v1/components.py, frontend/src/pages/ComponentReview.tsx"
6518d34,2026-08-07 18:01:02,Dilip,Increase backend upload file limit configuration to 250MB and update UI label description,"backend/app/api/v1/ingestion.py, backend/app/core/config.py, frontend/src/pages/Ingestion.tsx"
234c1c4,2026-08-07 17:53:15,Dilip,Apply client_max_body_size inside server and api location blocks in nginx.conf.template,frontend/nginx.conf.template
ac63f1b,2026-08-07 17:48:38,Dilip,Increase Nginx client_max_body_size limit to 1000m to support uploading large manual files,frontend/nginx.conf.template
9f6fc7d,2026-08-07 17:10:35,Dilip,Include null frequency_type entries in distinct frequencies dropdown and filter by frequency value only,"backend/app/api/v1/jobs.py, frontend/src/pages/JobsReview.tsx"
d3119c3,2026-08-07 17:05:26,Dilip,Construct SearchableSelect frequency options dynamically from API of unique vessel job frequencies,"backend/app/api/v1/jobs.py, frontend/src/pages/JobsReview.tsx"
f3978b9,2026-08-07 17:01:20,Dilip,Replace Jobs page frequency filter select element with SearchableSelect,frontend/src/pages/JobsReview.tsx
24223be,2026-08-07 16:34:48,Dilip,Enable inline editing of component name with auto-merge to vessel structure if name matches,"backend/app/api/v1/components.py, frontend/src/pages/ComponentReview.tsx"
5e219c3,2026-08-07 16:11:25,Dilip,Make component name editable inline on ComponentReview page and propagate changes to spares,"backend/app/api/v1/components.py, frontend/src/pages/ComponentReview.tsx"
f6efeda,2026-08-07 16:01:21,Dilip,Extend manuals sorting options in backend and implement full column sorting on manual review page,"backend/app/api/v1/manuals.py, frontend/src/pages/ManualReview.tsx"
4669dec,2026-08-07 15:58:45,Dilip,Implement sorting of all columns across review pages and add frequency filter to jobs page,"backend/app/api/v1/jobs.py, frontend/src/pages/ComponentReview.tsx, frontend/src/pages/JobsReview.tsx, frontend/src/pages/SparesReview.tsx"
760a0fc,2026-08-07 15:35:21,Dilip,Implement fallback to component name or clean filename for spare_assembly when not extracted,backend/app/services/extractor.py
34d3e5d,2026-08-07 15:07:41,Dilip,Automatically build and inject preceding pages headers history for deep context lookback up to 10 pages,backend/app/services/extractor.py
e1d6298,2026-08-07 15:04:24,Dilip,Automatically inject preceding page text context to PMS entity extraction,backend/app/services/extractor.py
9bb900e,2026-08-06 18:34:26,Dilip,Map table header and diagram title to spare_model in spares extraction prompts,backend/app/services/extractor.py
5fa5269,2026-08-06 18:32:17,Dilip,Comment out Extract Spares Only button on ManualReview page,frontend/src/pages/ManualReview.tsx
14e7055,2026-08-06 18:16:44,Dilip,Style screening complete banner with entirely bold black text on high-contrast solid emerald background,frontend/src/pages/ManualReview.tsx
6106c09,2026-08-06 18:10:10,Dilip,Detail extraction page ranges for components/jobs and improve screening banner colors,"backend/app/services/extractor.py, frontend/src/pages/ManualReview.tsx"
a4995e2,2026-08-06 17:52:47,Dilip,Fix DB save failure during screening by removing invalid screening_explanation column,backend/app/api/v1/ingestion.py
727632d,2026-08-06 17:41:16,Dilip,Integrate screening control mutations and buttons (Pause/Resume/Stop) in frontend,"backend/app/api/v1/ingestion.py, frontend/src/pages/ManualReview.tsx"
fb50f1e,2026-08-06 17:30:22,Dilip,Reuse classifier page text in screening to bypass duplicate full-manual reextract phase,"backend/app/api/v1/ingestion.py, backend/app/services/classifier.py"
6be1ff3,2026-08-06 17:07:25,Dilip,Implement real-time scanned page progress logging and Redis status state for screening,"backend/app/api/v1/ingestion.py, backend/app/services/classifier.py"
7f85793,2026-08-06 16:51:02,Dilip,Optimize screening by skipping heavy table extraction and footer OCR in classifier text helper,backend/app/services/classifier.py
6e226d9,2026-08-04 17:02:39,Dilip,"Bypass full-pdf text scanning phase for all PDF extractions (components, jobs, and spares)",backend/app/services/extractor.py
9de7e80,2026-08-04 16:53:03,Dilip,Skip full-pdf text scanning phase for PDF spares-only extraction,backend/app/services/extractor.py
cba317a,2026-08-04 16:51:36,Dilip,Optimize full-pdf text scanning by skipping slow table extraction,backend/app/services/extractor.py
f14c68e,2026-08-04 16:40:49,Dilip,Implement Redis-backed extraction status tracking for multi-worker backend sync,backend/app/services/extractor.py
7810608,2026-08-04 16:29:32,Dilip,Fix spares consolidation merging distinct parts with same part number but different positions,backend/app/services/extractor.py
af202a3,2026-08-04 15:49:43,Dilip,Fix spares extraction vertical slicing issues on single-column tables,backend/app/services/extractor.py
90a655d,2026-08-04 12:11:01,Dilip,Optimize page rendering resolution and fix frontend extraction status polling,"backend/app/services/extractor.py, frontend/src/pages/ManualReview.tsx"
3a0b48e,2026-08-04 11:51:02,Dilip,Add DUPLICATE TABLE TEXT RULE to spares system prompt to avoid duplicate text extraction and truncation,backend/app/services/extractor.py
f4750a9,2026-08-04 09:32:51,Dilip,Restrict spares extraction to specified pages and add Extract Spares Only button to Manuals page,"backend/app/api/v1/ingestion.py, backend/app/services/extractor.py, frontend/src/pages/ManualReview.tsx"
e105a77,2026-07-31 15:59:29,Dilip,feat: add database migration to add batch_number column to manuals table,backend/alembic/versions/0024_add_batch_number_to_manuals.py
3b718f7,2026-07-31 15:53:02,Dilip,fix: import Optional from typing in ingestion.py to resolve startup error,backend/app/api/v1/ingestion.py
fbcc826,2026-07-31 15:43:53,Dilip,fix: refactor seed_standard_jobs.py to run directly via python scripts/seed_standard_jobs.py and avoid namespace module lookup issue on Railway,"backend/scripts/railway_start.sh, backend/scripts/seed_standard_jobs.py"
0b12fbf,2026-07-31 15:35:04,Dilip,fix: add wait_for_db script to avoid migration failure on Railway database startup race condition,"backend/scripts/railway_start.sh, backend/scripts/wait_for_db.py"
14f57ca,2026-07-31 15:17:24,Dilip,"feat: add batch ingestion controls and manuals batch filtering dropdown, fix SharePoint mock download hijacking","backend/app/api/v1/ingestion.py, backend/app/api/v1/manuals.py, backend/app/models/ingestion.py, backend/app/schemas/ingestion.py, backend/app/schemas/manual.py, frontend/src/pages/Ingestion.tsx, frontend/src/pages/ManualReview.tsx"
777066d,2026-07-30 20:20:14,Dilip,"feat: add modified date and sorting to selected files modal, add loader to folder explorer navigation, and deduplicate spares during auto extraction","backend/app/services/extractor.py, frontend/src/pages/Ingestion.tsx"
330b036,2026-07-30 20:01:55,Dilip,"feat: improve selected files modal to a compact, scrollable table with sorting, search filtering, and select-all checkboxes",frontend/src/pages/Ingestion.tsx
8e96557,2026-07-30 19:56:04,Dilip,feat: add View / Edit selected files modal to SharePoint Ingestion screen,frontend/src/pages/Ingestion.tsx
8c3a431,2026-07-30 19:48:18,Dilip,"fix: keep checked sharepoint files selected when navigating folders, and exclude not fully downloaded manuals from the manuals page","backend/app/api/v1/manuals.py, frontend/src/pages/Ingestion.tsx"
30ea351,2026-07-29 18:26:55,Dilip,fix: remove toggleSelect from row onClick to prevent double click layout shifting,frontend/src/pages/JobsReview.tsx
042acaa,2026-07-29 18:21:41,Dilip,"feat: merge descriptions during job merge, restrict job mapping to manual components, and add PDF reference dropdown in Job Editor","backend/app/api/v1/jobs.py, frontend/src/pages/JobsReview.tsx"
843c134,2026-07-29 18:13:35,Dilip,feat: implement manual dropdown and component-manual constraints on Job Page,"backend/app/api/v1/jobs.py, frontend/src/pages/JobsReview.tsx"
b33f6ce,2026-07-29 17:55:28,Dilip,feat: add manual retry endpoint and UI button on ingestion progress table for failed manuals,"backend/app/api/v1/ingestion.py, frontend/src/pages/Ingestion.tsx"
0bd15f9,2026-07-29 17:51:15,Dilip,style: move Previous Sessions list above manuals progress table in Ingestion.tsx,frontend/src/pages/Ingestion.tsx
db6a4b6,2026-07-29 17:40:01,Dilip,style: set manuals progress list table height to fixed size and make it scrollable with sticky headers,frontend/src/pages/Ingestion.tsx
e92981d,2026-07-29 17:32:36,Dilip,fix: add 10-second buffer to session manuals query to prevent timing/microsecond precision issues,backend/app/api/v1/ingestion.py
69b1f60,2026-07-29 17:20:44,Dilip,"fix: rename Navigations tab to SharePoint, restore breadcrumb step names, and fix session loop in New Ingestion",frontend/src/pages/Ingestion.tsx
aa16c29,2026-07-29 17:14:17,Dilip,"feat: add SharePoint folder navigation, sharing link support, type filters, and session restoration","backend/app/api/v1/ingestion.py, backend/app/schemas/ingestion.py, backend/app/services/sharepoint.py, frontend/src/pages/Ingestion.tsx"
d81d1be,2026-07-28 18:29:42,Dilip,fix: robustly parse S3 endpoint netloc and add diagnostics for Cloudflare R2,backend/app/services/blob_storage.py
d767e5c,2026-07-28 18:20:40,Dilip,feat: add MINIO_REGION config and pass to Minio client for Cloudflare R2 compatibility,"backend/.env.example, backend/app/core/config.py, backend/app/services/blob_storage.py"
97dcbad,2026-07-24 20:18:20,Dilip,Fix: Import and initialize logger in spares.py to prevent NameError,backend/app/api/v1/spares.py
6480bd0,2026-07-24 20:11:55,Dilip,Fix: Propagate exceptions from inner vision extraction functions to prevent swallowing errors,backend/app/services/extractor.py
6a1dac0,2026-07-24 20:01:19,Dilip,Fix: Raise clear RuntimeError if both Vision API keys are missing to prevent silent empty returns,backend/app/services/extractor.py
7d3ce38,2026-07-24 19:51:07,Dilip,Fix: Revert CLAUDE_MODEL_ID back to claude-sonnet-4-6 for custom gateway compatibility,backend/app/core/config.py
e2f7f9d,2026-07-24 19:35:39,Dilip,Fix: Correct crop boundary calculations under zoom in imageElementToBlob,"frontend/src/components/manuals/ManualPagePreview.tsx, frontend/src/components/spares/SnipExtractModal.tsx"
0661add,2026-07-24 19:28:24,Dilip,Fix: Reset Claude vision billing breaker on new extraction requests,"backend/app/api/v1/extraction.py, backend/app/api/v1/ingestion.py, backend/app/api/v1/spares.py"
6eae117,2026-07-24 19:19:23,Dilip,"Fix: Resolve spares vision extraction silent failure, correct model ID, and add step-by-step progress UI","backend/app/core/config.py, backend/app/services/extractor.py, frontend/src/components/spares/SnipExtractModal.tsx"
452379a,2026-07-24 18:48:00,Dilip,"Feature: Add extraction task controls (stop, pause, resume), detailed screening progress tracking, and fix spares page zooming","backend/app/api/v1/extraction.py, backend/app/api/v1/ingestion.py, backend/app/services/extractor.py, frontend/src/components/spares/SnipExtractModal.tsx, frontend/src/pages/ManualReview.tsx"
3120952,2026-07-23 19:00:05,Dilip,Feature: Add detailed page-level extraction progress tracking and fix zoom coordinate scaling for snip selections,"backend/app/api/v1/extraction.py, backend/app/api/v1/ingestion.py, backend/app/services/extractor.py, frontend/src/components/manuals/ManualPagePreview.tsx, frontend/src/components/spares/SnipExtractModal.tsx, frontend/src/pages/ManualReview.tsx"
66b1272,2026-07-21 17:32:36,Dilip,Feature: render bulk action buttons persistently in fixed slots to prevent layout shifting on row selection,frontend/src/pages/ComponentReview.tsx
0229368,2026-07-21 16:51:15,Dilip,Feature: add up and down click-drag panning and mouse wheel focal zoom centered at cursor in manual preview,frontend/src/components/manuals/ManualPagePreview.tsx
5066b24,2026-07-21 16:03:18,Dilip,"Feature: add click and drag PDF panning, fix components pending QC filter normalization, and fix manuals table height with sticky header","backend/app/api/v1/components.py, frontend/src/components/manuals/ManualPagePreview.tsx, frontend/src/pages/ManualReview.tsx"
6045c02,2026-07-21 14:04:10,Dilip,"Feature: add manual components panel, page jump navigation, and Add Component modal in standalone manual preview tab","frontend/src/components/components/AddComponentModal.tsx, frontend/src/pages/ComponentReview.tsx, frontend/src/pages/ManualStandalonePreview.tsx"
935d66a,2026-07-20 18:23:34,Dilip,"Feature: add pre-populated manual, mandatory main machinery dropdown, add main machinery modal, component copying between manuals, and searchable dropdowns","backend/app/api/v1/components.py, frontend/src/components/SearchableSelect.tsx, frontend/src/pages/ComponentReview.tsx, frontend/src/pages/JobsReview.tsx, frontend/src/pages/SparesReview.tsx"
d02de86,2026-07-20 16:47:55,Dilip,feat(frontend): add row double-click manual open in Components & fix table scrolling height in Jobs & Spares,"frontend/src/pages/ComponentReview.tsx, frontend/src/pages/JobsReview.tsx, frontend/src/pages/SparesReview.tsx"
883ae54,2026-07-20 16:38:21,Dilip,feat(frontend): show pending components count next to total components in Components page header,frontend/src/pages/ComponentReview.tsx
f650208,2026-07-17 12:54:23,Dilip,fix(frontend): invalidate ingestion-sessions query and stop polling when session completes,frontend/src/pages/Ingestion.tsx
8f3f080,2026-07-17 12:48:07,Dilip,"fix(ingestion): stop auto-classification during SharePoint ingestion, leave manuals as queued",backend/app/api/v1/ingestion.py
693b448,2026-07-17 12:39:08,Dilip,fix(ingestion): remove duplicate route decorator from SharePoint bg task helper,backend/app/api/v1/ingestion.py
0209632,2026-07-17 12:35:49,Dilip,fix(ingestion): execute SharePoint downloads as FastAPI BackgroundTasks instead of Celery tasks,backend/app/api/v1/ingestion.py
d62ae98,2026-07-17 12:13:34,Dilip,fix(sharepoint): fallback to default site drive when library lookup by name fails,backend/app/services/sharepoint.py
72f0132,2026-07-17 12:07:31,Dilip,fix(sharepoint): support root site SharePoint URLs and decode/unquote URL path segments,backend/app/services/sharepoint.py
c702e36,2026-07-12 10:05:03,Dilip,Fix: tokens fix for error logs,backend/app/services/extractor.py
5093d38,2026-07-12 01:02:55,Dilip,Fix: AI tokens chage,backend/app/services/extractor.py
5249364,2026-06-10 17:07:50,Dilip,Update: Slow loading of the manual in manuals tab,"backend/app/api/v1/ingestion.py, frontend/src/pages/ManualReview.tsx"
2184a77,2026-06-10 14:56:44,Dilip,Update: Component and Dashboard pages Update,"frontend/src/pages/ComponentReview.tsx, frontend/src/pages/Dashboard.tsx"
620ac10,2026-06-08 18:00:03,Dilip,Updates: Click and double click function on component and spares pages,"frontend/src/pages/ComponentReview.tsx, frontend/src/pages/SparesReview.tsx"
556e239,2026-06-08 15:39:41,Dilip,Dilip: Clicking and Double clicking the jobs row will selected and bring up edit modal.,frontend/src/pages/JobsReview.tsx
8b546d5,2026-06-08 14:56:53,Dilip,Dilip: Changes as requested by Karthik,frontend/src/pages/JobsReview.tsx
d842397,2026-06-05 20:35:09,Dilip,Change: Spares edit in a seperate modal,frontend/src/pages/SparesReview.tsx
2783306,2026-06-05 20:07:40,Dilip,Fix: saving the edit jobs,"backend/app/api/v1/components.py, backend/app/api/v1/jobs.py, backend/app/api/v1/spares.py"
b103e11,2026-06-05 19:36:03,Dilip,Fix: jobs page issue fixes for save changes edit modal,frontend/src/pages/JobsReview.tsx
db1d58d,2026-06-05 19:01:03,Dilip,Fix: Changed the snip & extract from using ai to ocr,"backend/app/services/extractor.py, frontend/src/components/manuals/ManualPagePreview.tsx"
1b2f627,2026-06-05 18:46:37,Dilip,Fix: Modal not scrollable and use antropic key for the snip and extract feature.,"backend/app/services/extractor.py, frontend/src/components/manuals/ManualPagePreview.tsx, frontend/src/pages/JobsReview.tsx"
7a04ac3,2026-06-05 18:29:45,Dilip,Dilip: Jobs page snip and extract option in manual preview and the edit job is shown as the modal instead on split pane.,"backend/app/api/v1/jobs.py, frontend/src/components/manuals/ManualPagePreview.tsx, frontend/src/pages/JobsReview.tsx, frontend/src/pages/ManualStandalonePreview.tsx"
