ShipComponentJobLinkId,vesselname,ShipComponentName,ShipComponentCode,JobCode,JobName,FrequencyType,Frequency,AlternateFrequencyType,AlternateFrequency,Responsibility
106934,Alkebulan,Exhaust Valve,1.001.001.009-001,1.001.001.009-001-J002,Overhaul Main Engine Exhaust Valve Namonic Valve Spindle,,,Hourly,16000,Chief Engineer
106940,Alkebulan,Exhaust Valve Actuator,1.001.001.073-001,1.001.001.073-001-J001,Overhaul Main Engine Exhaust Valve Actuator,,,Hourly,16000,Chief Engineer
106941,Alkebulan,Exhaust Valve Actuator,1.001.001.073-001,1.001.001.073-001-J002,Check Main Engine Exhaust Valve Roller Guide,,,Hourly,16000,Chief Engineer
106942,Alkebulan,Main Engine Fuel Oil Pump,1.001.001.018-001,1.001.001.018-001-J001,Check Main Engine Fuel Pump Suction Valve,,,Hourly,8000,Second Engineer
106943,Alkebulan,Main Engine Fuel Oil Pump,1.001.001.018-001,1.001.001.018-001-J002,Overhaul Main Engine Fuel Pump Suction Valve,,,Hourly,8000,Second Engineer
106944,Alkebulan,Main Engine Fuel Oil Pump,1.001.001.018-001,1.001.001.018-001-J003,Check Main Engine Fuel Pump Puncture Valve,,,Hourly,8000,Second Engineer
106945,Alkebulan,Main Engine Fuel Oil Pump,1.001.001.018-001,1.001.001.018-001-J004,Overhaul Of Main Engine Fuel Pump Puncture Valve,,,Hourly,8000,Second Engineer
106946,Alkebulan,Main Engine Fuel Oil Pump,1.001.001.018-001,1.001.001.018-001-J005,Check Main Engine Fuel Pump Shock Absorber,,,Hourly,8000,Second Engineer
106947,Alkebulan,Main Engine,1.001.001-001,1.001.001-001-J002,Check Main Engine Lifting Gear,,,Hourly,8000,Second Engineer
106948,Alkebulan,Fuel Injector,1.001.001.005-001,1.001.001.005-001-J001,Check Main Engine Fuel Valves,,,Hourly,4000,Second Engineer
106954,Alkebulan,Fuel Injector,1.001.001.005-001,1.001.001.005-001-J002,Overhaul Main Engine Fuel Valves,,,Hourly,8000,Second Engineer
106960,Alkebulan,Main Engine,1.001.001-001,1.001.001-001-J003,Overhaul Of Main Engine Spindle Guide,,,Hourly,8000,Second Engineer
106961,Alkebulan,Fuel Injector,1.001.001.005-001,1.001.001.005-001-J003,Overhaul Of Main Engine Fuel Valve Non Return Valves,,,Hourly,8000,Second Engineer
106967,Alkebulan,Turbocharger,1.001.001.035-001,1.001.001.035-001-J001,Overhaul Of Main Engine Turbocharger,,0,Hourly,16000,Second Engineer
106968,Alkebulan,Main Engine Safety Valve,1.001.001.126-001,1.001.001.126-001-J001,Check & Overhaul Main Engine Safety Valve,,,Hourly,8000,Second Engineer
106969,Alkebulan,Indicator Valve With Relief Valve,1.001.001.007-001,1.001.001.007-001-J001,Check Main Engine Relief Valves,Yearly,4,,,Second Engineer
106975,Alkebulan,Main Engine,1.001.001-001,1.001.001-001-J004,Check Main Engine Holding Down Bolt And Chock Bolt,,,Hourly,8000,Second Engineer
106976,Alkebulan,Stay Bolts,1.001.001.086-001,1.001.001.086-001-J001,Check Main Engine Stay Bolts,,,Hourly,8000,Second Engineer
106977,Alkebulan,Scavenge Air Cooler,1.001.001.041-001,1.001.001.041-001-J001,Renew Main Engine Air Cooler Anode,Monthly,3,,,Second Engineer
106978,Alkebulan,Main Engine Alpha Lubricator,1.001.001.090-001,1.001.001.090-001-J001,Retight Main Engine Alpha Cylinder Lubricator,Monthly,3,,,Second Engineer
106979,Alkebulan,Main Engine Fuel Injector Test Unit,1.100.003-001,1.100.003-001-J001,Renew & Clean Main Engine Fuel Valve Test Unit Filter,Monthly,6,,,Second Engineer
106980,Alkebulan,Cooling Water System And Piping,1.001.001.045-001,1.001.001.045-001-J001,Check Main Engine C.W.System,Weekly,1,,,Second Engineer
106981,Alkebulan,Cooling Water System And Piping,1.001.001.045-001,1.001.001.045-001-J002,Analysis Main Engine C.W.System Laboratory Analysis,Monthly,3,,,Second Engineer
106982,Alkebulan,Cooling Water System And Piping,1.001.001.045-001,1.001.001.045-001-J003,"Check Main Engine C.W.System, 1 Y",Yearly,1,,,Second Engineer
106983,Alkebulan,Cooling Water System And Piping,1.001.001.045-001,1.001.001.045-001-J004,"Check Main Engine C.W.System , 4 Y",Yearly,4,,,Second Engineer
106984,Alkebulan,Main Engine Governor,1.001.001.080-001,1.001.001.080-001-J001,Renew Main Engine Governor Oil,Monthly,6,,,Second Engineer
106985,Alkebulan,Cylinder Head With Inlet & Exhaust Valve,2.001.001.001-001,2.001.001.001-001-J001,Check Auxiliary Engine Cylinder Head Valve Rotators,,,Hourly,2000,Third Engineer
106993,Alkebulan,Cylinder Head With Inlet & Exhaust Valve,2.001.001.001-001,2.001.001.001-001-J002,Overhaul Auxiliary Engine Cylinder Head Inlet & Exhaust Valve,,,Hourly,16000,Third Engineer
107001,Alkebulan,Cylinder Head With Inlet & Exhaust Valve,2.001.001.001-001,2.001.001.001-001-J003,Overhaul Auxiliary Engine Cylinder Head Fuel Injector Sleeve,,,Hourly,16000,Third Engineer
107009,Alkebulan,Cylinder Head With Inlet & Exhaust Valve,2.001.001.001-001,2.001.001.001-001-J004,Overhaul & Adjust Auxiliary Engine Cylinder Head Safety Valve Pressure,,,Hourly,16000,Third Engineer
107017,Alkebulan,Indicator Cock With Relief Valve,2.001.001.014-001,2.001.001.014-001-J001,Check Auxiliary Engine Indicator Valve,,,Hourly,16000,Third Engineer
107025,Alkebulan,Cylinder Head With Inlet & Exhaust Valve,2.001.001.001-001,2.001.001.001-001-J005,Inspect Auxiliary Engine Cylinder Head Cooling Water Space,,,Hourly,16000,Third Engineer
107033,Alkebulan,Piston & Piston Pin,2.001.001.002-001,2.001.001.002-001-J001,Cehck & Overhaul Auxiliary Engine Piston & Piston Rings,,,Hourly,16000,Third Engineer
107041,Alkebulan,Connecting Rod,2.001.001.003-001,2.001.001.003-001-J001,Check Auxiliary Engine Connectings Rod,,,Hourly,16000,Third Engineer
107049,Alkebulan,Auxiliary Engine #1,2.001.001-001,2.001.001-001-J001,Inspect Auxiliary Engine Of Big End Bearing Shells,,,Hourly,16000,Second Engineer
107050,Alkebulan,Connecting Rod,2.001.001.003-001,2.001.001.003-001-J002,Retight Auxiliary Engine Connecting Rod,,,Hourly,8000,Third Engineer
107058,Alkebulan,Cylinder Liner,2.001.001.004-001,2.001.001.004-001-J001,Clean & Measure Auxiliary Engine Cylinder Liners,,,Hourly,16000,Third Engineer
107066,Alkebulan,Cylinder Liner,2.001.001.004-001,2.001.001.004-001-J002,Check Auxiliary Engine Cylinder Liners,,,Hourly,32000,Third Engineer
107074,Alkebulan,Camshaft And Bearing,2.001.001.012-001,2.001.001.012-001-J001,Check Auxiliary Engine Camshaft And Camshaft Drive,,,Hourly,16000,Third Engineer
107075,Alkebulan,Camshaft And Bearing,2.001.001.012-001,2.001.001.012-001-J002,Inspect & Lubricate Auxiliary Engine Camshaft Bearing,,,Hourly,16000,Third Engineer
107076,Alkebulan,Auxiliary Engine #1,2.001.001-001,2.001.001-001-J002,Check Auxiliary Engine Inlet Valves,,,Hourly,16000,Third Engineer
107077,Alkebulan,Fuel Injection Pump,2.001.001.007-001,2.001.001.007-001-J001,Check Auxiliary Engine Fuel Injection Pump,,,Hourly,16000,Third Engineer
107085,Alkebulan,Cylinder Head With Inlet & Exhaust Valve,2.001.001.001-001,2.001.001.001-001-J006,Check Auxiliary Engine Roller Guide Housing,,,Hourly,16000,Third Engineer
107093,Alkebulan,Cylinder Head With Inlet & Exhaust Valve,2.001.001.001-001,2.001.001.001-001-J007,Check & Adjust Auxiliary Engine Inlet & Exhaust Valve,,,Hourly,2000,Third Engineer
107101,Alkebulan,Lube Oil Pipe System,2.001.001.030-001,2.001.001.030-001-J001,Check Auxiliary Engine Lubricating Of Operating Gear,,,Hourly,16000,Third Engineer
107102,Alkebulan,Main Bearing,2.001.001.005-001,2.001.001.005-001-J001,Check & Inspect Auxiliary Engine Main Bearing & Guide Bearings,,,Hourly,8000,Second Engineer
107111,Alkebulan,Main Bearing,2.001.001.005-001,2.001.001.005-001-J002,Inspection Of Auxiliary Engine Main Bearings,,,Hourly,32000,Second Engineer
107120,Alkebulan,Vibration Damper Assembly,2.001.001.048-001,2.001.001.048-001-J001,Check Auxiliary Engine Vibration Damper,,,Hourly,16000,Third Engineer
107121,Alkebulan,Lube Oil Pump Driving Gear Assy,2.001.001.024-001,2.001.001.024-001-J001,Lubricate Auxiliary Engine Lube Oil Pump Gear Wheel,,,Hourly,32000,Third Engineer
107122,Alkebulan,Auxiliary Engine #1,2.001.001-001,2.001.001-001-J003,Retight Auxiliary Engine Counterweight,,,Hourly,8000,Third Engineer
107123,Alkebulan,Auxiliary Engine #1,2.001.001-001,2.001.001-001-J004,Check Auxiliary Engine Engine Frame And Base Frame,,,Hourly,8000,Third Engineer
107124,Alkebulan,Turbocharger,2.001.001.034-001,2.001.001.034-001-J001,Clean Auxiliary Engine Turbocharger Turbine Side,Weekly,1,,,Third Engineer
107125,Alkebulan,Control And Safety System,2.001.001.042-001,2.001.001.042-001-J001,Check Auxiliary Engine Control And Safety System,Monthly,3,,,Third Engineer
107126,Alkebulan,Starting Air Safety Valve Assy,2.001.001.018-001,2.001.001.018-001-J001,Test Auxiliary Engine Starting Air Valve,Monthly,3,,,Third Engineer
107127,Alkebulan,Air Starter,2.001.001.016-001,2.001.001.016-001-J001,Check Auxiliary Engine Compressed Air System,Monthly,3,,,Third Engineer
107128,Alkebulan,Fuel Injection Valve,2.001.001.006-001,2.001.001.006-001-J001,Check Auxiliary Engine Fuel Injection Valves,,,Hourly,2000,Third Engineer
107136,Alkebulan,Auxiliary Engine Fuel Oil System,2.001.001.063-001,2.001.001.063-001-J001,Dismantle & Check Auxiliary Engine Fuel Oil High Pressure Pipe,,,Hourly,2000,Third Engineer
107137,Alkebulan,Auxiliary Engine Fuel Oil System,2.001.001.063-001,2.001.001.063-001-J002,Check Auxiliary Engine Fuel Oil System,Monthly,3,,,Third Engineer
107138,Alkebulan,Lube Oil Driven Pump,2.001.001.023-001,2.001.001.023-001-J001,Check Auxiliary Engine Lube Oil Pump Engine Driven,,,Hourly,16000,Third Engineer
107139,Alkebulan,Lube Oil Driven Pump,2.001.001.023-001,2.001.001.023-001-J002,Check Auxiliary Engine Pre Lube Oil Pump Electricl Driven,,,Hourly,16000,Third Engineer
107140,Alkebulan,Lube Oil Pipe System,2.001.001.030-001,2.001.001.030-001-J002,Check & Test Auxiliary Engine Lube Oil System,Monthly,3,,,Third Engineer
107141,Alkebulan,Ht Fresh Water Cooling Driven Pump,2.001.001.020-001,2.001.001.020-001-J001,Check Auxiliary Engine Cooling Water Pump Engine Driven,,,Hourly,16000,Third Engineer
107142,Alkebulan,Cooling Water System,2.001.001.050-001,2.001.001.050-001-J001,Check Auxiliary Engine Cooling Water System,Monthly,1,,,Third Engineer
107143,Alkebulan,Cooling Water Thermostat Assy,2.001.001.022-001,2.001.001.022-001-J001,Check Auxiliary Engine Cooling Water Thermostatic Valves,Monthly,3,,,Third Engineer
107462,Alkebulan,Deck Air Compressor,9.100.004-001,9.100.004-001-J001,Check & Replace Deck Air Compressor,,,Hourly,1500,Fourth Engineer
107463,Alkebulan,Deck Air Compressor,9.100.004-001,9.100.004-001-J002,"Check & Replace Deck Air Compressor, 5 Y",Yearly,5,,,Fourth Engineer
107464,Alkebulan,Deck Air Compressor,9.100.004-001,9.100.004-001-J003,Replace Deck Air Compressor Belts,,,Hourly,2000,Fourth Engineer
107465,Alkebulan,Turbocharger,1.001.001.035-001,1.001.001.035-001-J002,Inspect Main Engine Turbocharger,,,Hourly,3000,Second Engineer
107466,Alkebulan,Turbocharger,1.001.001.035-001,1.001.001.035-001-J003,Clean Main Engine Turbocharger Compressor,,,Hourly,6000,Second Engineer
107467,Alkebulan,Turbocharger,1.001.001.035-001,1.001.001.035-001-J004,Overhaul & Inspect Main Engine Turbocharger,,,Hourly,12000,Second Engineer
107468,Alkebulan,Turbocharger,1.001.001.035-001,1.001.001.035-001-J005,Overhaul Inspect Main Engine Turbocharger,,,Hourly,24000,Second Engineer
107469,Alkebulan,Engine Room Crane,19.100.005-001,19.100.005-001-J001,Inspect Engine Room Crane Hoist,Monthly,1,,,Second Engineer
107470,Alkebulan,Engine Room Crane,19.100.005-001,19.100.005-001-J002,Renew Engine Room Crane Hoist Oil,Yearly,1,,,Second Engineer
107471,Alkebulan,Engine Room Crane,19.100.005-001,19.100.005-001-J003,Inspect Engine Room Crane,Monthly,1,,,Second Engineer
107472,Alkebulan,Engine Room Crane,19.100.005-001,19.100.005-001-J004,"Inspect Engine Room Crane, 1 Y",Yearly,1,,,Second Engineer
107473,Alkebulan,Topping Up Air Compressor,9.100.006-001,9.100.006-001-J001,"Check Topping Up Air Compressor, 500 Hrs",,,Hourly,500,Fourth Engineer
107474,Alkebulan,Topping Up Air Compressor,9.100.006-001,9.100.006-001-J002,"Check Topping Up Air Compressor, 1000 Hrs",,,Hourly,1000,Fourth Engineer
107475,Alkebulan,Topping Up Air Compressor,9.100.006-001,9.100.006-001-J003,"Check Topping Up Air Compressor, 3000 Hrs",,,Hourly,3000,Fourth Engineer
107476,Alkebulan,Topping Up Air Compressor,9.100.006-001,9.100.006-001-J004,Clean Topping Up Air Compressor Coolers,,,Hourly,9000,Fourth Engineer
107477,Alkebulan,Topping Up Air Compressor,9.100.006-001,9.100.006-001-J005,"Check Topping Up Air Compressor, 12000 Hrs",,,Hourly,12000,Fourth Engineer
107478,Alkebulan,Main Air Compressor #1,9.100.001-001,9.100.001-001-J001,"Check Main Air Compressor, 500 Hrs",,,Hourly,500,Fourth Engineer
107479,Alkebulan,Main Air Compressor #1,9.100.001-001,9.100.001-001-J002,"Check Main Air Compressor, 1000 Hrs",,,Hourly,1000,Fourth Engineer
107480,Alkebulan,Main Air Compressor #1,9.100.001-001,9.100.001-001-J003,"Check Main Air Compressor, 3000 Hrs",,,Hourly,3000,Fourth Engineer
107481,Alkebulan,Main Air Compressor #1,9.100.001-001,9.100.001-001-J004,Clean Main Air Compressor Coolers,,,Hourly,9000,Fourth Engineer
107482,Alkebulan,Main Air Compressor #1,9.100.001-001,9.100.001-001-J005,"Clean Main Air Compressor Coolers, 12000 Hrs",,,Hourly,12000,Fourth Engineer
107488,Alkebulan,Fuel Oil Flowmeter,5.200.014-001,5.200.014-001-J001,Clean Flow Meters,Yearly,5,,,Second Engineer
107492,Alkebulan,Water Sterilizer,7.200.008-001,7.200.008-001-J001,Clean Uv Sterilizer Uv Sensor Port,Monthly,3,,,Third Engineer
107493,Alkebulan,Water Sterilizer,7.200.008-001,7.200.008-001-J002,Renew Uv Sterilizer Uv Lamps,,,Hourly,8000,Third Engineer
107494,Alkebulan,Shaft Earthing Arrangement,1.400.001.007-001,1.400.001.007-001-J001,Check Shaft Earthing Device,Weekly,1,,,Electrical Officer
107495,Alkebulan,Shaft Earthing Arrangement,1.400.001.007-001,1.400.001.007-001-J002,Replace Shaft Earthing Device Brushes,,,Hourly,1000,Electrical Officer
107496,Alkebulan,Wheel House Window Defrosting Fan - Motor #1,12.001.044-001,12.001.044-001-J001,Inspect Axial Flow Fan,Monthly,1,,,Electrical Officer
107497,Alkebulan,Wheel House Window Defrosting Fan - Motor #1,12.001.044-001,12.001.044-001-J002,Inspect Axial Flow Fan Impeller,Monthly,6,,,Electrical Officer
107498,Alkebulan,Wheel House Window Defrosting Fan - Motor #1,12.001.044-001,12.001.044-001-J003,Overhaul Axial Flow Fan,Yearly,1,,,Electrical Officer
107499,Alkebulan,Wheel House Window Defrosting Fan - Motor #1,12.001.044-001,12.001.044-001-J004,Lubricate Axial Flow Fan Motor Bearings,Yearly,2,,,Electrical Officer
107584,Alkebulan,Rehardening Filter,7.200.009-001,7.200.009-001-J001,Service Rehardening Filter,Weekly,1,,,Second Engineer
107585,Alkebulan,Rehardening Filter,7.200.009-001,7.200.009-001-J002,Replenish Rehardening Filter Dolomite,Yearly,1,,,Second Engineer
107586,Alkebulan,Lathe Machine,17.150.001-001,17.150.001-001-J001,Check Lathe Machine,Monthly,6,,,Second Engineer
107587,Alkebulan,Control Air Dryer #1,9.200.008-001,9.200.008-001-J001,Check Control Air Dryer,Monthly,1,,,Second Engineer
107589,Alkebulan,Grinder Machine,17.150.002-001,17.150.002-001-J001,Overhaul Grinding Machine Motor,Monthly,6,,,Electrical Officer
107590,Alkebulan,Gas Welding Set,17.150.005-001,17.150.005-001-J001,Clean & Check Gas Welding,Yearly,4,,,Electrical Officer
107592,Alkebulan,Fuel Oil Fine Filter,5.200.026-001,5.200.026-001-J002,Lubricate Filter Gear Box,Yearly,2,,,Fourth Engineer
107593,Alkebulan,Fuel Oil Fine Filter,5.200.026-001,5.200.026-001-J003,Inspect & Clean Filter Air Cylinder,Yearly,1,,,Fourth Engineer
107594,Alkebulan,Fuel Oil Fine Filter,5.200.026-001,5.200.026-001-J004,Clean Filter Elements,Monthly,6,,,Fourth Engineer
107599,Alkebulan,Lube Oil Auto Backwash Filter For Main Engine #1,6.200.014-001,6.200.014-001-J001,Inspect & Clean Back Wash Filter,,,Hourly,500,Fourth Engineer
107600,Alkebulan,Lube Oil Auto Backwash Filter For Main Engine #1,6.200.014-001,6.200.014-001-J002,Lubricate Back Wash Filter Gear Box,Yearly,2,,,Fourth Engineer
107601,Alkebulan,Lube Oil Auto Backwash Filter For Main Engine #1,6.200.014-001,6.200.014-001-J003,Inspect & Clean Back Wash Filter Hydraulic Actuator,Yearly,1,,,Fourth Engineer
107602,Alkebulan,Lube Oil Auto Backwash Filter For Main Engine #1,6.200.014-001,6.200.014-001-J004,Clean Back Wash Filter Elements,Monthly,6,,,Fourth Engineer
107615,Alkebulan,Ecr Air Conditioning Unit,14.100.009-001,14.100.009-001-J001,Inspect Engine Control Room Air Conditioner,Monthly,1,,,Second Engineer
107616,Alkebulan,Ecr Air Conditioning Unit,14.100.009-001,14.100.009-001-J002,Inspect Engine Control Room Air Conditioner Fan Belt,Yearly,1,,,Second Engineer
107617,Alkebulan,Ecr Air Conditioning Unit,14.100.009-001,14.100.009-001-J003,Clean & Check Engine Control Room Air Conditioner Condenser Zinc Anode,Monthly,3,,,Second Engineer
107618,Alkebulan,Mgps,8.200.001-001,8.200.001-001-J001,Test Mgps Flow Switch,Weekly,1,,,Electrical Officer
107619,Alkebulan,Mgps,8.200.001-001,8.200.001-001-J002,Dismantle & Clean Mgps Flow Switch,Monthly,3,,,Electrical Officer
107620,Alkebulan,Mgps,8.200.001-001,8.200.001-001-J003,Clean Mgps Filter,Weekly,1,,,Second Engineer
107621,Alkebulan,Mgps,8.200.001-001,8.200.001-001-J004,Replace & Clean Mgps Anode,Yearly,4,,,Electrical Officer
107622,Alkebulan,Fresh Water Generator,7.100.001-001,7.100.001-001-J001,Check Fresh Water Generator,Monthly,3,,,Fourth Engineer
107623,Alkebulan,Fresh Water Generator Ejector Pump #1,7.100.007-001,8.100.009-001-J001,Check Fresh Water Generator Ejector Pump,Monthly,3,,,Fourth Engineer
107625,Alkebulan,Distilate Pump,7.100.001.003-001,7.100.001.003-001-J001,Check Fresh Water Generator Distillate Pump,Monthly,3,,,Fourth Engineer
107626,Alkebulan,Salinity Meter,7.100.001.004-001,7.100.001.004-001-J001,Clean Fresh Water Generator Salinity Cell,Monthly,1,,,Fourth Engineer
107627,Alkebulan,Fresh Water Generator,7.100.001-001,7.100.001-001-J002,"Check Fresh Water Generator, 6 M",Monthly,6,,,Fourth Engineer
107628,Alkebulan,Condenser,7.100.001.001-001,7.100.001.001-001-J001,Check Fresh Water Generator Condenser,Monthly,6,,,Second Engineer
107629,Alkebulan,Fresh Water Generator,7.100.001-001,7.100.001-001-J003,Overhaul Fresh Water Generator,,,Hourly,8000,Fourth Engineer
107630,Alkebulan,Evaporator,7.100.001.002-001,7.100.001.002-001-J001,Check Fresh Water Generator Evaporator,,,Hourly,8000,Fourth Engineer
107631,Alkebulan,Condenser,7.100.001.001-001,7.100.001.001-001-J002,Overhaul Fresh Water Generator Condenser,,,Hourly,8000,Second Engineer
107632,Alkebulan,Fresh Water Generator Ejector Pump #1,7.100.007-001,8.100.009-001-J002,Overhaul Fresh Water Generator Ejector Pump,,,Hourly,8000,Fourth Engineer
107634,Alkebulan,Distilate Pump,7.100.001.003-001,7.100.001.003-001-J002,Overhaul Fresh Water Generator Distillate Pump,,,Hourly,8000,Fourth Engineer
107635,Alkebulan,Salinity Meter,7.100.001.004-001,7.100.001.004-001-J002,Overhaul Fresh Water Generator Salinity Control Panel,,,Hourly,8000,Fourth Engineer
107636,Alkebulan,Fresh Water Generator,7.100.001-001,7.100.001-001-J004,Replace Fresh Water Generator Metering Pump,,,Hourly,8000,Fourth Engineer
107637,Alkebulan,Oily Water Separator Pump,13.200.003.007-001,13.200.003.007-001-J001,Renew Oily Water Separator Pump Oil,Yearly,3,,,Second Engineer
107638,Alkebulan,Oil Content Monitor 15Ppm,13.200.003.001-001,13.200.003.001-001-J001,Check Oily Water Separator Oil Content Monitor,Weekly,1,,,Second Engineer
107639,Alkebulan,Waste And Sludge Incinerator,13.200.002-001,13.200.002-001-J001,"Inspect Incinerator Parts, 5000 Hrs",,,Hourly,5000,Second Engineer
107640,Alkebulan,Waste And Sludge Incinerator,13.200.002-001,13.200.002-001-J002,"Inspect Incinerator Parts, 2000 Hrs",,,Hourly,2000,Second Engineer
107641,Alkebulan,Main Burner,13.200.002.001-001,13.200.002.001-001-J001,Clean & Inspect Incinerator W.O. Burner,,,Hourly,1000,Second Engineer
107642,Alkebulan,Incinerator Secondary Burner #1,13.200.002.024-001,13.200.002.024-001-J001,Clean Incinerator Secondary Burner,,,Hourly,2000,Second Engineer
107643,Alkebulan,Waste And Sludge Incinerator,13.200.002-001,13.200.002-001-J003,Clean Incinerator Flame Detector,,,Hourly,500,Second Engineer
107644,Alkebulan,Waste And Sludge Incinerator,13.200.002-001,13.200.002-001-J004,Check Incinerator Solenoid Valve,,,Hourly,5000,Second Engineer
107645,Alkebulan,Sludge Dosing Pump,13.200.002.005-001,13.200.002.005-001-J001,Check Incinerator W.O. Dosing Pump Mechanical Seal,,,Hourly,1000,Second Engineer
107646,Alkebulan,Stern Tube Seal #1,1.400.001.006-001,1.400.001.006-001-J001,Check Stern Tube Seal,Weekly,1,,,Second Engineer
107648,Alkebulan,Economizer Soot Blower,10.100.002.010-001,10.100.002.010-001-J001,Inspect Exhaust Gas Economizer Soot Blower,Monthly,1,,,Third Engineer
107649,Alkebulan,Economizer Soot Blower,10.100.002.010-001,10.100.002.010-001-J002,"Inspect Exhaust Gas Economizer Soot Blower, 1 Y",Yearly,1,,,Third Engineer
107650,Alkebulan,Economizer Soot Blower,10.100.002.010-001,10.100.002.010-001-J003,Overhaul Exhaust Gas Economizer Soot Blower,Yearly,3,,,Third Engineer
107651,Alkebulan,Economizer Soot Blower,10.100.002.010-001,10.100.002.010-001-J004,Clean Exhaust Gas Economizer Soot Blower,Monthly,2,,,Third Engineer
107652,Alkebulan,Vacuum Condenser,10.200.015-001,10.200.015-001-J001,Inspect Vacuum Condenser,Monthly,6,,,Second Engineer
107653,Alkebulan,Vacuum Condenser,10.200.015-001,10.200.015-001-J002,Check Vacuum Condenser,Monthly,3,,,Second Engineer
107654,Alkebulan,Vacuum Condenser,10.200.015-001,10.200.015-001-J003,Clean Vacuum Condenser,Yearly,1,,,Second Engineer
107655,Alkebulan,Air Ejector Condenser,10.200.011-001,10.200.011-001-J001,Inspect Air Ejector Condenser,Monthly,6,,,Second Engineer
107656,Alkebulan,Air Ejector Condenser,10.200.011-001,10.200.011-001-J002,Check Air Ejector Condenser,Monthly,3,,,Second Engineer
107657,Alkebulan,Air Ejector Condenser,10.200.011-001,10.200.011-001-J003,Clean Air Ejector Condenser,Yearly,1,,,Second Engineer
107658,Alkebulan,Main Engine Jacket Preheater,7.200.030-001,7.200.030-001-J001,Check Heater,Monthly,6,,,Second Engineer
107659,Alkebulan,Main Engine Jacket Preheater,7.200.030-001,7.200.030-001-J002,Check Heater Heating Tube,Monthly,1,,,Second Engineer
107660,Alkebulan,Main Engine Jacket Preheater,7.200.030-001,7.200.030-001-J003,Clean Heater Chemical,Yearly,1,,,Second Engineer
107703,Alkebulan,Atmospheric Condenser,10.200.001-001,10.200.001-001-J001,Clean Atmospheric Condenser,Yearly,1,,,Third Engineer
107704,Alkebulan,Hot Water Calorifier,7.200.004-001,7.200.004-001-J001,Inspect Calorifier,Monthly,2,,,Second Engineer
107705,Alkebulan,Emergency Generator Engine,2.500.001.001-001,2.500.001.001-001-J001,Check & Clean Emergency Generator,Weekly,1,,,Third Engineer
107706,Alkebulan,Emergency Generator Engine,2.500.001.001-001,2.500.001.001-001-J002,Clean & Replace Emergency Generator,Monthly,6,,,Third Engineer
